nx,ny,h,delta_fem,delta_eb,rel_error
20,2,0.5,0.010316214248377906,0.01904761904761905,0.45839875196016
40,4,0.25,0.015749814656252928,0.01904761904761905,0.17313473054672135
80,8,0.125,0.018169616721480052,0.01904761904761905,0.04609512212229734
120,12,0.08333333333333333,0.018705923776204815,0.01904761904761905,0.017939001749247303
160,16,0.0625,0.018902209797582843,0.01904761904761905,0.0076339856269008214
